Ensemble_mean,Ensemble_index,Loop_learning_rate_w_COT,MSE,PSNR,R2_score,Mean_Quantile_Loss,Quant_Rate,Quantiles
False,0,0.003,0.007888781942170645,21.060108932850348,0.815218678580143,1.77032979592591,"[0.11910417 0.21740833 0.32722083 0.42155833 0.53344583 0.62088333
 0.715775   0.8156625  0.90585833]",[0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9]
False,1,0.003,0.007769666933047384,21.126184429178863,0.8179850387139584,1.7573681540121433,"[0.09772917 0.18453333 0.27985833 0.36988333 0.48911667 0.577125
 0.67423333 0.7713625  0.87596667]",[0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9]
False,2,0.003,0.007858738983164587,21.076679804173853,0.8165334419048671,1.7627455377096053,"[0.106625   0.198825   0.30085    0.39775417 0.502275   0.59278333
 0.69655833 0.7937875  0.8966125 ]",[0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9]
False,3,0.003,0.007743463610656549,21.140855831720692,0.8186734880753236,1.7638705400722552,"[0.0999     0.1938125  0.30750833 0.40318333 0.49622083 0.60009583
 0.69325417 0.79639583 0.8967125 ]",[0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9]
False,4,0.003,0.007701533052729862,21.164436613336967,0.8197789265777834,1.760423275250075,"[0.09139167 0.18505    0.28477917 0.39935417 0.4890125  0.59487917
 0.7046625  0.8020875  0.9001625 ]",[0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9]
True,,0.003,0.007381093541121116,21.34900135750086,0.8272840881697681,1.697924450153307,"[0.08546667 0.17257917 0.28012083 0.38546667 0.5032875  0.607225
 0.716575   0.82196667 0.91890417]",[0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9]
